ISim log file
Running: C:\cygwin64\home\A-l-r\co\src\project\pipelined3_tb_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb C:/cygwin64/home/A-l-r/co/src/project/pipelined3_tb_isim_beh.wdb 
ISim P.20131013 (signature 0x7708f090)
This is a Full version of ISim.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.
Finished circuit initialization process.
                  45@00003000: $ 1 <= 80000000
                  55@00003004: $ 1 <= 80000000
                 115@00004180: $ 3 <= 0000ff13
                 125@00004184: $ 4 <= 80000030
                 135@00004188: $ 5 <= 00003008
                 145@0000418c: $ 1 <= 00000000
                 185@0000300c: $ 2 <= 00000000
                 205@0000300c: $ 2 <= 00000000
                 225@0000300c: $ 2 <= 00000000
                 245@0000300c: $ 2 <= 00000000
                 265@0000300c: $ 2 <= 00000000
                 285@0000300c: $ 2 <= 00000000
                 305@0000300c: $ 2 <= 00000000
                 325@0000300c: $ 2 <= 00000000
                 345@0000300c: $ 2 <= 00000000
                 365@0000300c: $ 2 <= 00000000
                 385@0000300c: $ 2 <= 00000000
                 405@0000300c: $ 2 <= 00000000
                 425@0000300c: $ 2 <= 00000000
                 445@0000300c: $ 2 <= 00000000
                 465@0000300c: $ 2 <= 00000000
                 485@0000300c: $ 2 <= 00000000
                 505@0000300c: $ 2 <= 00000000
                 525@0000300c: $ 2 <= 00000000
                 545@0000300c: $ 2 <= 00000000
                 565@0000300c: $ 2 <= 00000000
                 585@0000300c: $ 2 <= 00000000
                 605@0000300c: $ 2 <= 00000000
                 625@0000300c: $ 2 <= 00000000
                 645@0000300c: $ 2 <= 00000000
                 665@0000300c: $ 2 <= 00000000
                 685@0000300c: $ 2 <= 00000000
                 705@0000300c: $ 2 <= 00000000
                 725@0000300c: $ 2 <= 00000000
                 745@0000300c: $ 2 <= 00000000
                 765@0000300c: $ 2 <= 00000000
                 785@0000300c: $ 2 <= 00000000
                 805@0000300c: $ 2 <= 00000000
                 825@0000300c: $ 2 <= 00000000
                 845@0000300c: $ 2 <= 00000000
                 865@0000300c: $ 2 <= 00000000
                 885@0000300c: $ 2 <= 00000000
                 905@0000300c: $ 2 <= 00000000
                 925@0000300c: $ 2 <= 00000000
                 945@0000300c: $ 2 <= 00000000
                 965@0000300c: $ 2 <= 00000000
                 985@0000300c: $ 2 <= 00000000
# restart
# cls
# run 1000ns
Simulator is doing circuit initialization process.
Finished circuit initialization process.
                  45@00003000: $ 1 <= 80000000
                  55@00003004: $ 1 <= 80000000
                 115@00004180: $ 3 <= 0000ff13
                 125@00004184: $ 4 <= 80000030
                 135@00004188: $ 5 <= 00003008
                 145@0000418c: $ 1 <= 00000000
                 185@0000300c: $ 2 <= 00000000
                 205@0000300c: $ 2 <= 00000000
                 225@0000300c: $ 2 <= 00000000
                 245@0000300c: $ 2 <= 00000000
                 265@0000300c: $ 2 <= 00000000
                 285@0000300c: $ 2 <= 00000000
                 305@0000300c: $ 2 <= 00000000
                 325@0000300c: $ 2 <= 00000000
                 345@0000300c: $ 2 <= 00000000
                 365@0000300c: $ 2 <= 00000000
                 385@0000300c: $ 2 <= 00000000
                 405@0000300c: $ 2 <= 00000000
                 425@0000300c: $ 2 <= 00000000
                 445@0000300c: $ 2 <= 00000000
                 465@0000300c: $ 2 <= 00000000
                 485@0000300c: $ 2 <= 00000000
                 505@0000300c: $ 2 <= 00000000
                 525@0000300c: $ 2 <= 00000000
                 545@0000300c: $ 2 <= 00000000
                 565@0000300c: $ 2 <= 00000000
                 585@0000300c: $ 2 <= 00000000
                 605@0000300c: $ 2 <= 00000000
                 625@0000300c: $ 2 <= 00000000
                 645@0000300c: $ 2 <= 00000000
                 665@0000300c: $ 2 <= 00000000
                 685@0000300c: $ 2 <= 00000000
                 705@0000300c: $ 2 <= 00000000
                 725@0000300c: $ 2 <= 00000000
                 745@0000300c: $ 2 <= 00000000
                 765@0000300c: $ 2 <= 00000000
                 785@0000300c: $ 2 <= 00000000
                 805@0000300c: $ 2 <= 00000000
                 825@0000300c: $ 2 <= 00000000
                 845@0000300c: $ 2 <= 00000000
                 865@0000300c: $ 2 <= 00000000
                 885@0000300c: $ 2 <= 00000000
                 905@0000300c: $ 2 <= 00000000
                 925@0000300c: $ 2 <= 00000000
                 945@0000300c: $ 2 <= 00000000
                 965@0000300c: $ 2 <= 00000000
                 985@0000300c: $ 2 <= 00000000
